x,y,z
2.136,-57.495,25.269
7.141,17.639,-13.916
-29.114,-32.227,1.526
-40.344,85.51,-6.165
40.344,53.101,5.066
14.282,36.621,4.333
0.977,-50.415,8.24
-39.185,44.312,-23.499
-0.61,1.648,-0.366
3.357,17.273,1.892
3.967,-15.198,-0.122
0.977,30.64,-0.916
-2.319,7.263,-2.625
8.179,-39.856,-15.747
7.69,-61.646,21.423
3.967,10.559,-10.315
-7.874,-47.18,16.724
-12.451,-18.921,-14.526
45.471,-7.996,19.714
-5.066,-29.358,-19.897
-10.132,-4.517,-9.583
28.87,-28.625,6.653
26.55,-14.709,13.672
41.992,-34.546,15.076
16.541,-9.216,7.629
18.86,28.87,10.864
7.568,-10.071,-3.479
-0.366,-1.343,0.549
-29.053,22.705,-9.033
25.574,-23.682,3.662
-0.061,-4.944,-1.038
-5.371,13.733,-2.869
4.7,-5.249,-2.502
-31.86,-77.576,3.967
8.118,0.977,0.183
0.366,14.771,-0.244
-16.968,10.132,13.794
-3.967,12.939,0.793
-7.263,10.559,-8.545
12.451,-16.296,-8.484
-28.259,59.937,-52.49
-3.113,-48.645,14.771
7.812,14.832,26.062
0.977,8.484,-14.343
0.366,-15.686,-11.108
-12.451,8.057,21.423
-62.439,26.794,11.475
76.599,-26.917,5.981
8.545,-27.1,10.071
-1.038,-3.723,21.667
-16.357,3.723,-15.198
-5.432,14.404,-16.052
-37.964,7.263,13.062
-21.973,-2.869,-26.978
-44.861,27.588,-22.888
-73.242,7.141,-4.333
40.1,-23.01,7.568
-4.639,10.254,30.701
143.799,-132.874,-68.665
-4.211,-5.188,-6.104
2.075,0.122,5.005
2.686,-1.343,1.892
-0.977,0.916,0.061
36.255,64.697,-14.771
19.531,38.391,-8.972
-32.104,-35.645,28.687
-3.052,17.395,-0.122
49.438,-60.608,18.494
-17.517,-11.658,-2.014
11.597,-39.185,5.981
-14.648,31.128,-18.372
-46.448,22.583,-1.16
10.986,-4.578,-5.188
-13.611,19.165,18.616
-16.785,4.761,-10.376
-6.104,-7.446,11.108
-10.742,2.869,-3.235
-10.437,-0.427,7.996
-52.856,-1.648,-4.211
-45.837,30.762,26.001
28.503,52.063,14.771
3.418,-11.475,-36.194
15.625,-6.348,-3.784
-3.052,-41.443,-36.804
-11.841,-7.446,1.404
8.85,2.319,0.061
5.981,17.212,0.977
0.549,-2.869,1.526
0.671,10.254,-15.442
5.188,13.123,-7.568
6.836,-16.968,23.315
5.981,0.366,9.216
159.058,26.611,54.016
-122.925,57.129,11.658
-100.464,58.289,74.585
6.531,-0.183,-12.634
6.592,9.521,-0.366
-30.151,48.035,46.204
0.183,-19.348,-1.221
-31.311,44.434,58.105
-23.621,8.972,-20.081
19.47,-46.387,-16.296
-55.725,21.24,45.654
2.197,16.846,39.185
12.878,-56.152,-112.854
-25.33,14.771,7.812
-0.183,-51.147,10.681
26.794,45.654,-33.447
6.165,1.526,-1.282
0.61,-2.441,-1.526
11.23,2.441,-4.822
-1.282,0.61,4.517
0.305,0.183,-6.592
5.676,7.202,1.343
3.479,-0.305,-0.671
13.855,-30.762,11.353
135.498,-174.744,-24.048
-438.232,-102.112,-78.308
46.814,26.245,-57.312
2.502,-8.789,6.714
-181.946,65.918,-60.181
-8.484,-24.658,-4.517
50.293,500.0,1995.117
0.0,0.0,0.0
24.536,-7.019,-35.278
-27.832,-83.435,-81.97
-1.16,0.122,-2.93
-15.808,-22.705,11.902
17.151,3.113,39.917
-30.212,-1.526,1.16
-37.048,13.0,10.925
18.005,13.245,41.077
-22.461,-28.625,-42.114
-4.272,-18.066,-13.611
-2.197,-6.531,-50.72
-0.305,35.583,45.044
3.052,17.761,10.803
11.963,18.494,2.93
18.127,-0.916,3.845
-15.686,0.671,-20.081
-9.155,-53.223,-35.828
10.315,20.264,17.273
-21.118,72.449,27.527
22.705,15.93,21.79
28.259,-29.175,-17.212
-76.66,7.812,-20.325
0.549,2.441,0.732
-85.999,-34.302,80.811
-0.122,3.357,-0.916
-3.662,-5.92,0.183
2.136,2.258,-0.793
9.827,2.869,0.427
-3.601,-6.042,-0.305
-4.211,-5.066,0.488
1.465,0.549,-0.488
-0.427,-0.549,0.0
-3.052,-3.967,-0.305
2.93,2.625,-1.892
0.61,0.061,-0.183
-3.906,-4.028,0.366
-0.671,-1.343,0.305
1.648,-0.061,0.183
-3.662,0.916,-0.549
1.709,0.549,-0.366
0.61,-0.854,-0.366
15.442,-0.427,-0.549
-1.343,-2.197,0.061
4.7,8.362,-1.404
-0.061,-1.282,-0.488
0.427,-0.427,-0.671
-3.357,-3.296,-3.723
8.789,6.348,-1.16
1.099,-3.418,-0.244
14.709,11.047,-2.014
0.244,0.732,0.061
-0.61,3.235,-0.671
13.733,6.775,-4.883
4.395,0.366,-3.418
-1.526,2.93,0.61
0.671,0.305,-0.732
1.587,-2.075,1.648
0.977,2.197,1.709
-1.221,1.282,0.244
0.061,-0.732,0.366
37.72,58.655,14.038
40.894,0.793,-9.277
-36.865,-0.427,16.663
-6.714,-24.17,-10.315
58.716,-61.89,-6.531
11.78,-84.534,26.855
